"Time (EpSec)","x (m)","y (m)","z (m)","vx (m/sec)","vy (m/sec)","vz (m/sec)"
13500.0,-5044635.521,1714995.586,4428264.321,-4768.392747,-4648.091321,-3631.975457
13560.0,-5319653.229,1432611.775,4200951.716,-4395.567477,-4761.317380,-3942.386511
13620.0,-5571724.353,1144048.323,3955518.102,-4003.781713,-4854.005264,-4235.791890
13680.0,-5799761.574,850549.963,3693022.168,-3594.725442,-4925.755161,-4510.925973
13740.0,-6002781.241,553382.715,3414596.203,-3170.163148,-4976.257572,-4766.601959
13800.0,-6179907.620,253828.423,3121441.211,-2731.926200,-5005.294655,-5001.716975
13860.0,-6330376.666,-46820.770,2814821.731,-2281.904956,-5012.741156,-5215.256841
13920.0,-6453539.324,-347267.999,2496060.380,-1822.040604,-4998.564954,-5406.300443
13980.0,-6548864.326,-646217.271,2166532.152,-1354.316791,-4962.827199,-5574.023705
14040.0,-6615940.484,-942379.054,1827658.481,-880.751067,-4905.682047,-5717.703145
14100.0,-6654478.460,-1234475.838,1480901.117,-403.386180,-4827.375997,-5836.718994
14160.0,-6664312.020,-1521247.651,1127755.814,75.718732,-4728.246826,-5930.557872
14220.0,-6645398.746,-1801457.488,769745.881,554.497029,-4608.722132,-5998.815000
14280.0,-6597820.220,-2073896.651,408415.612,1030.883475,-4469.317491,-6041.195947
14340.0,-6521781.677,-2337389.959,45323.622,1502.823155,-4310.634231,-6057.517902
14400.0,-6417611.110,-2590800.822,-317963.873,1968.280335,-4133.356841,-6047.710458
14460.0,-6285757.866,-2833036.140,-679879.816,2425.247241,-3938.250016,-6011.815922
14520.0,-6126790.700,-3063051.019,-1038863.064,2871.752726,-3726.155357,-5949.989125
14580.0,-5941395.324,-3279853.278,-1393365.126,3305.870765,-3497.987745,-5862.496760
14640.0,-5730371.450,-3482507.730,-1741856.839,3725.728770,-3254.731394,-5749.716230
14700.0,-5494629.340,-3670140.216,-2082834.968,4129.515663,-2997.435600,-5612.134020
14760.0,-5235185.879,-3841941.373,-2414828.687,4515.489689,-2727.210222,-5450.343596
14820.0,-4953160.189,-3997170.129,-2736405.926,4881.985931,-2445.220890,-5265.042850
14880.0,-4649768.802,-4135156.898,-3046179.544,5227.423488,-2152.683978,-5057.031086
14940.0,-4326320.410,-4255306.466,-3342813.318,5550.312301,-1850.861360,-4827.205572
15000.0,-3984210.225,-4357100.562,-3625027.705,5849.259571,-1541.054961,-4576.557672
15060.0,-3624913.956,-4440100.094,-3891605.358,6122.975775,-1224.601146,-4306.168568
15120.0,-3249981.443,-4503947.037,-4141396.382,6370.280225,-902.864955,-4017.204596
15180.0,-2861029.978,-4548365.986,-4373323.292,6590.106162,-577.234212,-3710.912217
15240.0,-2459737.321,-4573165.337,-4586385.658,6781.505355,-249.113541,-3388.612637
15300.0,-2047834.466,-4578238.117,-4779664.427,6943.652195,80.081693,-3051.696112
15360.0,-1627098.179,-4563562.444,-4952325.881,7075.847253,408.931491,-2701.615947
15420.0,-1199343.324,-4529201.622,-5103625.236,7177.520300,736.017343,-2339.882230
15480.0,-766415.044,-4475303.869,-5232909.856,7248.232764,1059.928349,-1968.055318
15540.0,-330180.794,-4402101.674,-5339622.064,7287.679624,1379.267302,-1587.739103
15600.0,107477.706,-4309910.800,-5423301.552,7295.690722,1692.656718,-1200.574098
15660.0,544672.595,-4199128.916,-5483587.366,7272.231504,1998.744777,-808.230359
15720.0,979518.013,-4070233.885,-5520219.459,7217.403161,2296.211154,-412.400278
15780.0,1410138.233,-3923781.703,-5533039.816,7131.442199,2583.772712,-14.791289
15840.0,1834675.752,-3760404.097,-5521993.137,7014.719414,2860.189040,382.881503
15900.0,2251299.309,-3580805.805,-5487127.072,6867.738295,3124.267804,778.902717
15960.0,2658211.776,-3385761.532,-5428592.017,6691.132853,3374.869887,1171.564097
16020.0,3053657.917,-3176112.613,-5346640.467,6485.664884,3610.914305,1559.171877
16080.0,3435931.957,-2952763.378,-5241625.923,6252.220684,3831.382868,1940.054094
16140.0,3803384.937,-2716677.254,-5114001.370,5991.807225,4035.324574,2312.567793
16200.0,4154431.830,-2468872.610,-4964317.324,5705.547815,4221.859712,2675.106119
16260.0,4487558.381,-2210418.365,-4793219.453,5394.677247,4390.183652,3026.105244
16320.0,4801327.629,-1942429.372,-4601445.797,5060.536476,4539.570322,3364.051117
16380.0,5094386.117,-1666061.616,-4389823.581,4704.566835,4669.375334,3687.485991
16440.0,5365469.723,-1382507.222,-4159265.647,4328.303815,4779.038768,3995.014716
16500.0,5613409.115,-1092989.315,-3910766.518,3933.370447,4868.087586,4285.310750
16560.0,5837134.792,-798756.746,-3645398.108,3521.470294,4936.137672,4557.121888
16620.0,6035681.705,-501078.701,-3364305.096,3094.380107,4982.895487,4809.275658
16680.0,6208193.412,-201239.229,-3068699.990,2653.942161,5008.159341,5040.684384
16740.0,6353925.774,99468.299,-2759857.897,2202.056307,5011.820255,5250.349873
16800.0,6472250.168,399746.765,-2439111.023,1740.671776,4993.862439,5437.367723
16860.0,6562656.196,698300.904,-2107842.925,1271.778772,4954.363355,5600.931222
16920.0,6624753.887,993842.888,-1767482.543,797.399888,4893.493383,5740.334831
16980.0,6658275.380,1285097.883,-1419498.040,319.581382,4811.515089,5854.977227
17040.0,6663076.078,1570809.545,-1065390.463,-159.615655,4708.782091,5944.363894
17100.0,6639135.274,1849745.444,-706687.273,-638.124181,4585.737532,6008.109259
17160.0,6586556.236,2120702.376,-344935.752,-1113.880128,4442.912171,6045.938351
17220.0,6505565.768,2382511.555,18303.665,-1584.831299,4280.922092,6057.687994
17280.0,6396513.225,2634043.655,381464.129,-2048.946223,4100.466048,6043.307506
17340.0,6259869.011,2874213.679,742979.129,-2504.222917,3902.322444,6002.858916
17400.0,6096222.548,3101985.642,1101289.252,-2948.697524,3687.345982,5936.516703
17460.0,5906279.732,3316377.040,1454848.911,-3380.452781,3456.463974,5844.567036
17520.0,5690859.891,3516463.084,1802133.007,-3797.626291,3210.672340,5727.406544
17580.0,5450892.249,3701380.693,2141643.516,-4198.418554,2951.031315,5585.540606
17640.0,5187411.918,3870332.216,2471915.941,-4581.100735,2678.660873,5419.581167
17700.0,4901555.433,4022588.874,2791525.636,-4944.022115,2394.735897,5230.244100
17760.0,4594555.851,4157493.898,3099093.950,-5285.617216,2100.481111,5018.346122
17820.0,4267737.428,4274465.370,3393294.171,-5604.412549,1797.165797,4784.801263
17880.0,3922509.913,4372998.728,3672857.252,-5899.032976,1486.098322,4530.616931
17940.0,3560362.460,4452668.943,3936577.286,-6168.207637,1168.620489,4256.889562
18000.0,3182857.210,4513132.354,4183316.701,-6410.775434,846.101754,3964.799894
18060.0,2791622.551,4554128.149,4412011.176,-6625.690040,519.933319,3655.607868
18120.0,2388346.092,4575479.491,4621674.227,-6812.024409,191.522126,3330.647199
18180.0,1974767.387,4577094.279,4811401.461,-6968.974780,-137.715207,2991.319622
18240.0,1552670.426,4558965.549,4980374.480,-7095.864139,-466.358499,2639.088842
18300.0,1123875.945,4521171.498,5127864.412,-7192.145142,-792.990130,2275.474224
18360.0,690233.571,4463875.155,5253235.052,-7257.402478,-1116.201161,1902.044238
18420.0,253613.841,4387323.669,5355945.606,-7291.354655,-1434.597403,1520.409690
18480.0,-184099.865,4291847.249,5435553.028,-7293.855219,-1746.805439,1132.216782
18540.0,-621019.447,4177857.736,5491713.928,-7264.893384,-2051.478546,739.140002
18600.0,-1055260.231,4045846.832,5524186.053,-7204.594077,-2347.302499,342.874905
18660.0,-1484949.099,3896383.970,5532829.333,-7113.217404,-2633.001250,-54.869199
18720.0,-1908232.567,3730113.866,5517606.484,-6991.157521,-2907.342421,-452.376623
18780.0,-2323284.781,3547753.734,5478583.170,-6838.940940,-3169.142629,-847.932698
18840.0,-2728315.393,3350090.195,5415927.722,-6657.224254,-3417.272586,-1239.831174
18900.0,-3121577.284,3137975.878,5329910.406,-6446.791308,-3650.661972,-1626.381577
18960.0,-3501374.099,2912325.750,5220902.263,-6208.549814,-3868.304050,-2005.916505
